Nama Pennguna,Teks Ulasan,Rating,Waktu Ulasan,casefolding,cleaning,stopword_removal,tokenizing,stemming
Iyon Jokerss,Kepada pihak dana mohon untuk kerjasamanya kenapa fitur dana cicil saya keluar tetapi begitu aktivasi tidak bisa/hanya keluar layar putih,1,7/7/2025 7:07,kepada pihak dana mohon untuk kerjasamanya kenapa fitur dana cicil saya keluar tetapi begitu aktivasi tidak bisa/hanya keluar layar putih,kepada pihak dana mohon untuk kerjasamanya kenapa fitur dana cicil saya keluar tetapi begitu aktivasi tidak bisahanya keluar layar putih,pihak dana mohon kerjasamanya fitur dana cicil keluar aktivasi bisahanya keluar layar putih,"['pihak', 'dana', 'mohon', 'kerjasamanya', 'fitur', 'dana', 'cicil', 'keluar', 'aktivasi', 'bisahanya', 'keluar', 'layar', 'putih']",pihak dana mohon kerjasamanya fitur dana cicil keluar aktivasi bisahanya keluar layar putih
AHMAD NAJIB,"fitur investasinya masih kurang tambahin invetasi saham cripto bitcoin yang populer,invetasi cripto bitcoin keuntungannya bisa 1-2 % seperti investasi online lainnya",4,7/7/2025 7:05,"fitur investasinya masih kurang tambahin invetasi saham cripto bitcoin yang populer,invetasi cripto bitcoin keuntungannya bisa 1-2 % seperti investasi online lainnya",fitur investasinya masih kurang tambahin invetasi saham cripto bitcoin yang populerinvetasi cripto bitcoin keuntungannya bisa seperti investasi online lainnya,fitur investasinya kurang tambahin invetasi saham cripto bitcoin populerinvetasi cripto bitcoin keuntungannya investasi online lainnya,"['fitur', 'investasinya', 'kurang', 'tambahin', 'invetasi', 'saham', 'cripto', 'bitcoin', 'populerinvetasi', 'cripto', 'bitcoin', 'keuntungannya', 'investasi', 'online', 'lainnya']",fitur investasi kurang tambahin invetasi saham cripto bitcoin populerinvetasi cripto bitcoin untung investasi online lain
Cimoseny Lovelove,"apk nyaman di gunakan hanya saja butuh hati"" pernah ketipu melalui link saldo abis",5,7/7/2025 7:03,"apk nyaman di gunakan hanya saja butuh hati"" pernah ketipu melalui link saldo abis",apk nyaman di gunakan hanya saja butuh hati pernah ketipu melalui link saldo abis,apk nyaman gunakan butuh hati pernah ketipu melalui link saldo abis,"['apk', 'nyaman', 'gunakan', 'butuh', 'hati', 'pernah', 'ketipu', 'melalui', 'link', 'saldo', 'abis']",apk nyaman guna butuh hati pernah tipu lalu link saldo abis
Zulkar Nain66,sangat membantu dalam segala bentuk pembayaran,5,7/7/2025 7:02,sangat membantu dalam segala bentuk pembayaran,sangat membantu dalam segala bentuk pembayaran,sangat membantu segala bentuk pembayaran,"['sangat', 'membantu', 'segala', 'bentuk', 'pembayaran']",sangat bantu segala bentuk bayar
Zaenal Abidin,cepat dan mantapz,5,7/7/2025 6:55,cepat dan mantapz,cepat dan mantapz,cepat mantapz,"['cepat', 'mantapz']",cepat mantapz
Anuvashaziya ena,"saya kesulitan membuka aplikasi dana di hp Infinix ini, tolonglah bantu saya masuk aplikasinya sungguh mengecewakan.",1,7/7/2025 6:55,"saya kesulitan membuka aplikasi dana di hp infinix ini, tolonglah bantu saya masuk aplikasinya sungguh mengecewakan.",saya kesulitan membuka aplikasi dana di hp infinix ini tolonglah bantu saya masuk aplikasinya sungguh mengecewakan,kesulitan membuka aplikasi dana hp infinix tolonglah bantu masuk aplikasinya sungguh mengecewakan,"['kesulitan', 'membuka', 'aplikasi', 'dana', 'hp', 'infinix', 'tolonglah', 'bantu', 'masuk', 'aplikasinya', 'sungguh', 'mengecewakan']",sulit buka aplikasi dana hp infinix tolong bantu masuk aplikasi sungguh kecewa
Yogi Saputra,sangat membantu bertransaksi,5,7/7/2025 6:48,sangat membantu bertransaksi,sangat membantu bertransaksi,sangat membantu bertransaksi,"['sangat', 'membantu', 'bertransaksi']",sangat bantu transaksi
Istri Sayalina,baik,5,7/7/2025 6:34,baik,baik,baik,['baik'],baik
Muhammad Surya,"metode verifikasi yg sekarang sangat ribet dan ngebug tidak bisa dilanjutkan,(Saya sadar tindakan ini memberi akses ke saldo DANA yang bisa digunakan untuk pembayaran, dan saya tetap ingin melanjutkan aktivitas ini.) masalah nya saya beli paket data internet dari telkomsel dari mana aktivitas mencurigakan nya kalian niat bermitra ga si?",1,7/7/2025 6:31,"metode verifikasi yg sekarang sangat ribet dan ngebug tidak bisa dilanjutkan,(saya sadar tindakan ini memberi akses ke saldo dana yang bisa digunakan untuk pembayaran, dan saya tetap ingin melanjutkan aktivitas ini.) masalah nya saya beli paket data internet dari telkomsel dari mana aktivitas mencurigakan nya kalian niat bermitra ga si?",metode verifikasi yg sekarang sangat ribet dan ngebug tidak bisa dilanjutkansaya sadar tindakan ini memberi akses ke saldo dana yang bisa digunakan untuk pembayaran dan saya tetap ingin melanjutkan aktivitas ini masalah nya saya beli paket data internet dari telkomsel dari mana aktivitas mencurigakan nya kalian niat bermitra ga si,metode verifikasi yg sekarang sangat ribet ngebug dilanjutkansaya sadar tindakan memberi akses saldo dana digunakan pembayaran tetap melanjutkan aktivitas masalah nya beli paket data internet telkomsel mana aktivitas mencurigakan nya kalian niat bermitra ga si,"['metode', 'verifikasi', 'yg', 'sekarang', 'sangat', 'ribet', 'ngebug', 'dilanjutkansaya', 'sadar', 'tindakan', 'memberi', 'akses', 'saldo', 'dana', 'digunakan', 'pembayaran', 'tetap', 'melanjutkan', 'aktivitas', 'masalah', 'nya', 'beli', 'paket', 'data', 'internet', 'telkomsel', 'mana', 'aktivitas', 'mencurigakan', 'nya', 'kalian', 'niat', 'bermitra', 'ga', 'si']",metode verifikasi yg sekarang sangat ribet ngebug dilanjutkansaya sadar tindak beri akses saldo dana guna bayar tetap lanjut aktivitas masalah nya beli paket data internet telkomsel mana aktivitas curiga nya kalian niat mitra ga si
arni darwis,"update kali ini sangat keren semua, menu sudah lengkap juga🥰",5,7/7/2025 6:28,"update kali ini sangat keren semua, menu sudah lengkap juga🥰",update kali ini sangat keren semua menu sudah lengkap juga,update kali sangat keren semua menu lengkap,"['update', 'kali', 'sangat', 'keren', 'semua', 'menu', 'lengkap']",update kali sangat keren semua menu lengkap
Noer Cahya,sering gagal kirim.,3,7/7/2025 6:24,sering gagal kirim.,sering gagal kirim,sering gagal kirim,"['sering', 'gagal', 'kirim']",sering gagal kirim
Riky Syahputra,Sangat membantu sekali...,4,7/7/2025 6:14,sangat membantu sekali...,sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",sangat bantu sekali
Irma Yunitaababil,transaksi lebih mudah dan hemat,5,7/7/2025 6:10,transaksi lebih mudah dan hemat,transaksi lebih mudah dan hemat,transaksi lebih mudah hemat,"['transaksi', 'lebih', 'mudah', 'hemat']",transaksi lebih mudah hemat
Ayu Siswati,"dulu aplikasi dana aman, sekarang sudah ngk aman, uang saya tiba tiba raib 2 jta pada tanggal 6 Juli 2025,ada tranferan ke mobi, padahal saya tidak pernah instal aplikasi mobi, tlong kembalikan uang saya, klau ngk kerjasama dengan dana, ngk mungkin langsung terdedet ke mobi.",1,7/7/2025 6:07,"dulu aplikasi dana aman, sekarang sudah ngk aman, uang saya tiba tiba raib 2 jta pada tanggal 6 juli 2025,ada tranferan ke mobi, padahal saya tidak pernah instal aplikasi mobi, tlong kembalikan uang saya, klau ngk kerjasama dengan dana, ngk mungkin langsung terdedet ke mobi.",dulu aplikasi dana aman sekarang sudah ngk aman uang saya tiba tiba raib jta pada tanggal juli ada tranferan ke mobi padahal saya tidak pernah instal aplikasi mobi tlong kembalikan uang saya klau ngk kerjasama dengan dana ngk mungkin langsung terdedet ke mobi,dulu aplikasi dana aman sekarang ngk aman uang tiba tiba raib jta tanggal juli tranferan mobi padahal pernah instal aplikasi mobi tlong kembalikan uang klau ngk kerjasama dana ngk mungkin langsung terdedet mobi,"['dulu', 'aplikasi', 'dana', 'aman', 'sekarang', 'ngk', 'aman', 'uang', 'tiba', 'tiba', 'raib', 'jta', 'tanggal', 'juli', 'tranferan', 'mobi', 'padahal', 'pernah', 'instal', 'aplikasi', 'mobi', 'tlong', 'kembalikan', 'uang', 'klau', 'ngk', 'kerjasama', 'dana', 'ngk', 'mungkin', 'langsung', 'terdedet', 'mobi']",dulu aplikasi dana aman sekarang ngk aman uang tiba tiba raib jta tanggal juli tranferan mob padahal pernah instal aplikasi mob tlong kembali uang klau ngk kerjasama dana ngk mungkin langsung terdedet mob
Iwan Jembrong,aplikasi mantab Nih!,5,7/7/2025 6:01,aplikasi mantab nih!,aplikasi mantab nih,aplikasi mantab nih,"['aplikasi', 'mantab', 'nih']",aplikasi mantab nih
samsuddin s,"aplikasi yang merugikan masyarakat, istri saya simpan uang 350 ribu dipotong 190 ribu oleh pihak dana.. saya kecewa dan saya sudah delete aplikasi kurang ajar ini..",1,7/7/2025 6:00,"aplikasi yang merugikan masyarakat, istri saya simpan uang 350 ribu dipotong 190 ribu oleh pihak dana.. saya kecewa dan saya sudah delete aplikasi kurang ajar ini..",aplikasi yang merugikan masyarakat istri saya simpan uang ribu dipotong ribu oleh pihak dana saya kecewa dan saya sudah delete aplikasi kurang ajar ini,aplikasi merugikan masyarakat istri simpan uang ribu dipotong ribu pihak dana kecewa delete aplikasi kurang ajar,"['aplikasi', 'merugikan', 'masyarakat', 'istri', 'simpan', 'uang', 'ribu', 'dipotong', 'ribu', 'pihak', 'dana', 'kecewa', 'delete', 'aplikasi', 'kurang', 'ajar']",aplikasi rugi masyarakat istri simpan uang ribu potong ribu pihak dana kecewa delete aplikasi kurang ajar
All Iskandar,Aplikasi nya sangat bagus memudahkan saya untuk bertransaksi keuangan...tapi sayang akun saya sudah premium tapi tidak ada fitur DANA cicilnya... mohon kepada pihak dana perhatian nya.... terimakasih,5,7/7/2025 5:55,aplikasi nya sangat bagus memudahkan saya untuk bertransaksi keuangan...tapi sayang akun saya sudah premium tapi tidak ada fitur dana cicilnya... mohon kepada pihak dana perhatian nya.... terimakasih,aplikasi nya sangat bagus memudahkan saya untuk bertransaksi keuangantapi sayang akun saya sudah premium tapi tidak ada fitur dana cicilnya mohon kepada pihak dana perhatian nya terimakasih,aplikasi nya sangat bagus memudahkan bertransaksi keuangantapi sayang akun premium fitur dana cicilnya mohon pihak dana perhatian nya terimakasih,"['aplikasi', 'nya', 'sangat', 'bagus', 'memudahkan', 'bertransaksi', 'keuangantapi', 'sayang', 'akun', 'premium', 'fitur', 'dana', 'cicilnya', 'mohon', 'pihak', 'dana', 'perhatian', 'nya', 'terimakasih']",aplikasi nya sangat bagus mudah transaksi keuangantapi sayang akun premium fitur dana cicil mohon pihak dana perhati nya terimakasih
saputra jaya,sangat baik dan sangat membantu,5,7/7/2025 5:51,sangat baik dan sangat membantu,sangat baik dan sangat membantu,sangat baik sangat membantu,"['sangat', 'baik', 'sangat', 'membantu']",sangat baik sangat bantu
Hakim Lukman,bagus banget,5,7/7/2025 5:50,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']",bagus banget
Rahul Simanjuntak,"kenapa fitur dana cicil saya tidak ada, tolong fitur dana cicil nya",1,7/7/2025 5:41,"kenapa fitur dana cicil saya tidak ada, tolong fitur dana cicil nya",kenapa fitur dana cicil saya tidak ada tolong fitur dana cicil nya,fitur dana cicil fitur dana cicil nya,"['fitur', 'dana', 'cicil', 'fitur', 'dana', 'cicil', 'nya']",fitur dana cicil fitur dana cicil nya
Indah sari,tidak bisa verifikasi wajah. malah balik ke halaman masukkan nomor,5,7/7/2025 5:29,tidak bisa verifikasi wajah. malah balik ke halaman masukkan nomor,tidak bisa verifikasi wajah malah balik ke halaman masukkan nomor,verifikasi wajah malah balik halaman masukkan nomor,"['verifikasi', 'wajah', 'malah', 'balik', 'halaman', 'masukkan', 'nomor']",verifikasi wajah malah balik halaman masuk nomor
moh romli,cukup membtu,4,7/7/2025 5:24,cukup membtu,cukup membtu,cukup membtu,"['cukup', 'membtu']",cukup membtu
anugrah 16,"kenapa buka Dana hanya muncul kata ""mulai""? padahal sudah aktif dan sudah terdata lama",5,7/7/2025 5:23,"kenapa buka dana hanya muncul kata ""mulai""? padahal sudah aktif dan sudah terdata lama",kenapa buka dana hanya muncul kata mulai padahal sudah aktif dan sudah terdata lama,buka dana muncul kata mulai padahal aktif terdata lama,"['buka', 'dana', 'muncul', 'kata', 'mulai', 'padahal', 'aktif', 'terdata', 'lama']",buka dana muncul kata mulai padahal aktif data lama
Yadi wijaya,mau masuk harus kode otp padahal nomornya udah ilang gimana cara ngatasinya,1,7/7/2025 5:18,mau masuk harus kode otp padahal nomornya udah ilang gimana cara ngatasinya,mau masuk harus kode otp padahal nomornya udah ilang gimana cara ngatasinya,mau masuk kode otp padahal nomornya udah ilang gimana cara ngatasinya,"['mau', 'masuk', 'kode', 'otp', 'padahal', 'nomornya', 'udah', 'ilang', 'gimana', 'cara', 'ngatasinya']",mau masuk kode otp padahal nomor udah ilang gimana cara ngatasinya
Ari Kristanto,sangat membantu,5,7/7/2025 5:14,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",sangat bantu
Kang Jobleng,harga emas di dana grafiknya ngikutin harga emas mana🤷 srius nanya,2,7/7/2025 5:10,harga emas di dana grafiknya ngikutin harga emas mana🤷 srius nanya,harga emas di dana grafiknya ngikutin harga emas mana srius nanya,harga emas dana grafiknya ngikutin harga emas mana srius nanya,"['harga', 'emas', 'dana', 'grafiknya', 'ngikutin', 'harga', 'emas', 'mana', 'srius', 'nanya']",harga emas dana grafik ngikutin harga emas mana srius nanya
edo ani,sangat puas dan aman,5,7/7/2025 4:57,sangat puas dan aman,sangat puas dan aman,sangat puas aman,"['sangat', 'puas', 'aman']",sangat puas aman
Lino,"bagus,sngat memuaskan,cocok untuk bisnis sperti jual plsa,dn sbgainya",5,7/7/2025 4:57,"bagus,sngat memuaskan,cocok untuk bisnis sperti jual plsa,dn sbgainya",bagussngat memuaskancocok untuk bisnis sperti jual plsadn sbgainya,bagussngat memuaskancocok bisnis sperti jual plsadn sbgainya,"['bagussngat', 'memuaskancocok', 'bisnis', 'sperti', 'jual', 'plsadn', 'sbgainya']",bagussngat memuaskancocok bisnis sperti jual plsadn sbgainya
Bapang gile,"laporan saya dari tanggal 25 Juni 2025, sampai 07 Juli 2025. .. tidak ada kejelasanNya dari pihak dana,. padahal saya di suruh menunggu 6 hari kerja, tapi NyataNya 13 hari belom selesai,.. di kerja kan apa gak... terus Menghubungi CS dana susah.!! udah 2 kali saya ke hilangan saldo d dana. UNTUK DANA, TOLONG D PERBAIKI, 1. SUKA bayar otomatis.. apa coba maksud 2. untuk berbicara sma customer service, jngan d persulit. TERIMA KASIH 🙏💕",1,7/7/2025 4:56,"laporan saya dari tanggal 25 juni 2025, sampai 07 juli 2025. .. tidak ada kejelasannya dari pihak dana,. padahal saya di suruh menunggu 6 hari kerja, tapi nyatanya 13 hari belom selesai,.. di kerja kan apa gak... terus menghubungi cs dana susah.!! udah 2 kali saya ke hilangan saldo d dana. untuk dana, tolong d perbaiki, 1. suka bayar otomatis.. apa coba maksud 2. untuk berbicara sma customer service, jngan d persulit. terima kasih 🙏💕",laporan saya dari tanggal juni sampai juli tidak ada kejelasannya dari pihak dana padahal saya di suruh menunggu hari kerja tapi nyatanya hari belom selesai di kerja kan apa gak terus menghubungi cs dana susah udah kali saya ke hilangan saldo d dana untuk dana tolong d perbaiki suka bayar otomatis apa coba maksud untuk berbicara sma customer service jngan d persulit terima kasih,laporan tanggal juni juli kejelasannya pihak dana padahal suruh menunggu hari kerja nyatanya hari belom selesai kerja kan apa gak terus menghubungi cs dana susah udah kali hilangan saldo d dana dana d perbaiki suka bayar otomatis apa coba maksud berbicara sma customer service jngan d persulit terima kasih,"['laporan', 'tanggal', 'juni', 'juli', 'kejelasannya', 'pihak', 'dana', 'padahal', 'suruh', 'menunggu', 'hari', 'kerja', 'nyatanya', 'hari', 'belom', 'selesai', 'kerja', 'kan', 'apa', 'gak', 'terus', 'menghubungi', 'cs', 'dana', 'susah', 'udah', 'kali', 'hilangan', 'saldo', 'd', 'dana', 'dana', 'd', 'perbaiki', 'suka', 'bayar', 'otomatis', 'apa', 'coba', 'maksud', 'berbicara', 'sma', 'customer', 'service', 'jngan', 'd', 'persulit', 'terima', 'kasih']",lapor tanggal juni juli jelas pihak dana padahal suruh tunggu hari kerja nyata hari bom selesai kerja kan apa gak terus hubung cs dana susah udah kali hilang saldo d dana dana d baik suka bayar otomatis apa coba maksud bicara sma customer service jngan d sulit terima kasih
Yuki Saka,"blm muncul fitur dana cicil,,jika sudah muncul saya beri bintang full",3,7/7/2025 4:56,"blm muncul fitur dana cicil,,jika sudah muncul saya beri bintang full",blm muncul fitur dana ciciljika sudah muncul saya beri bintang full,blm muncul fitur dana ciciljika muncul beri bintang full,"['blm', 'muncul', 'fitur', 'dana', 'ciciljika', 'muncul', 'beri', 'bintang', 'full']",blm muncul fitur dana ciciljika muncul beri bintang full
Mohammadsahrulromadlon Ganteng,kenapa dana saya gak ada dana cicil nya,2,7/7/2025 4:54,kenapa dana saya gak ada dana cicil nya,kenapa dana saya gak ada dana cicil nya,dana gak dana cicil nya,"['dana', 'gak', 'dana', 'cicil', 'nya']",dana gak dana cicil nya
Wilem Wambon,"Terima kasih, Dana dompet digital Indonesia cukup membantu masyarakat pengguna DddI.",4,7/7/2025 4:47,"terima kasih, dana dompet digital indonesia cukup membantu masyarakat pengguna dddi.",terima kasih dana dompet digital indonesia cukup membantu masyarakat pengguna dddi,terima kasih dana dompet digital indonesia cukup membantu masyarakat pengguna dddi,"['terima', 'kasih', 'dana', 'dompet', 'digital', 'indonesia', 'cukup', 'membantu', 'masyarakat', 'pengguna', 'dddi']",terima kasih dana dompet digital indonesia cukup bantu masyarakat guna dddi
Teh Pucuk,tolong muncul fitur dana cicil nya ka mksh🙏,5,7/7/2025 4:44,tolong muncul fitur dana cicil nya ka mksh🙏,tolong muncul fitur dana cicil nya ka mksh,muncul fitur dana cicil nya ka mksh,"['muncul', 'fitur', 'dana', 'cicil', 'nya', 'ka', 'mksh']",muncul fitur dana cicil nya ka mksh
Bangjon,suka banget nih app dana ini.cuma sayang di akun dana saya gak muncul fitur spaylaternya,5,7/7/2025 4:36,suka banget nih app dana ini.cuma sayang di akun dana saya gak muncul fitur spaylaternya,suka banget nih app dana inicuma sayang di akun dana saya gak muncul fitur spaylaternya,suka banget nih app dana inicuma sayang akun dana gak muncul fitur spaylaternya,"['suka', 'banget', 'nih', 'app', 'dana', 'inicuma', 'sayang', 'akun', 'dana', 'gak', 'muncul', 'fitur', 'spaylaternya']",suka banget nih app dana inicuma sayang akun dana gak muncul fitur spaylaternya
kucing bahira,dana saya tidak bisa login untuk mendapatkan kode otp karena kartu saya sudah mati sudah saya hubungi cs diana tapi tidak membantu sama sekali,1,7/7/2025 4:35,dana saya tidak bisa login untuk mendapatkan kode otp karena kartu saya sudah mati sudah saya hubungi cs diana tapi tidak membantu sama sekali,dana saya tidak bisa login untuk mendapatkan kode otp karena kartu saya sudah mati sudah saya hubungi cs diana tapi tidak membantu sama sekali,dana login mendapatkan kode otp kartu mati hubungi cs diana membantu sama sekali,"['dana', 'login', 'mendapatkan', 'kode', 'otp', 'kartu', 'mati', 'hubungi', 'cs', 'diana', 'membantu', 'sama', 'sekali']",dana login dapat kode otp kartu mati hubung cs ana bantu sama sekali
Yessy Ulandarii,sangat puas dgn app dana muda dan pratis,5,7/7/2025 4:34,sangat puas dgn app dana muda dan pratis,sangat puas dgn app dana muda dan pratis,sangat puas dgn app dana muda pratis,"['sangat', 'puas', 'dgn', 'app', 'dana', 'muda', 'pratis']",sangat puas dgn app dana muda pratis
Ronaldo Prabu,mudah dan pkaktis,5,7/7/2025 4:33,mudah dan pkaktis,mudah dan pkaktis,mudah pkaktis,"['mudah', 'pkaktis']",mudah pkaktis
RADITHYA NV,aplikasi nya bagus,5,7/7/2025 4:26,aplikasi nya bagus,aplikasi nya bagus,aplikasi nya bagus,"['aplikasi', 'nya', 'bagus']",aplikasi nya bagus
Isnoyang Tanjung,sangat mudah dan cepat,5,7/7/2025 4:24,sangat mudah dan cepat,sangat mudah dan cepat,sangat mudah cepat,"['sangat', 'mudah', 'cepat']",sangat mudah cepat
Lisna Mardiana,aplikasi bagus keren,5,7/7/2025 4:22,aplikasi bagus keren,aplikasi bagus keren,aplikasi bagus keren,"['aplikasi', 'bagus', 'keren']",aplikasi bagus keren
Raden Mas bro,bagus sekali,5,7/7/2025 4:18,bagus sekali,bagus sekali,bagus sekali,"['bagus', 'sekali']",bagus sekali
bolang bolang33,mqntap,5,7/7/2025 4:16,mqntap,mqntap,mqntap,['mqntap'],mqntap
Anisah Anis,baik,5,7/7/2025 4:14,baik,baik,baik,['baik'],baik
Disconect_tv official,dana Sangat mempermudah banyak orang. tks,5,7/7/2025 4:08,dana sangat mempermudah banyak orang. tks,dana sangat mempermudah banyak orang tks,dana sangat mempermudah banyak orang tks,"['dana', 'sangat', 'mempermudah', 'banyak', 'orang', 'tks']",dana sangat mudah banyak orang tks
Holil Lil,sangat berguna,3,7/7/2025 4:02,sangat berguna,sangat berguna,sangat berguna,"['sangat', 'berguna']",sangat guna
Raditya Tya,cpt dan dapat di percaya🙏,5,7/7/2025 3:57,cpt dan dapat di percaya🙏,cpt dan dapat di percaya,cpt percaya,"['cpt', 'percaya']",cpt percaya
andang B permana,aplikasi terkeren,5,7/7/2025 3:55,aplikasi terkeren,aplikasi terkeren,aplikasi terkeren,"['aplikasi', 'terkeren']",aplikasi keren
Risma Adel,memuaskan,5,7/7/2025 3:45,memuaskan,memuaskan,memuaskan,['memuaskan'],muas
Welmince Mayor,saya baru memakai dana,5,7/7/2025 3:42,saya baru memakai dana,saya baru memakai dana,baru memakai dana,"['baru', 'memakai', 'dana']",baru pakai dana
Muhibat Ibay,"mau ganti nomor aja dipersulit, padahal dulu ga gini",2,7/7/2025 3:40,"mau ganti nomor aja dipersulit, padahal dulu ga gini",mau ganti nomor aja dipersulit padahal dulu ga gini,mau ganti nomor aja dipersulit padahal dulu ga gini,"['mau', 'ganti', 'nomor', 'aja', 'dipersulit', 'padahal', 'dulu', 'ga', 'gini']",mau ganti nomor aja sulit padahal dulu ga gin
Muhamad Ihsanudin,bagus,5,7/7/2025 3:38,bagus,bagus,bagus,['bagus'],bagus
Andra Andra,baguss,5,7/7/2025 3:32,baguss,baguss,baguss,['baguss'],baguss
Rafa dr,tolol aplikasi ga becus dana pending 1 hari udah ditunggu ga balik balik,1,7/7/2025 3:30,tolol aplikasi ga becus dana pending 1 hari udah ditunggu ga balik balik,tolol aplikasi ga becus dana pending hari udah ditunggu ga balik balik,tolol aplikasi ga becus dana pending hari udah ditunggu ga balik balik,"['tolol', 'aplikasi', 'ga', 'becus', 'dana', 'pending', 'hari', 'udah', 'ditunggu', 'ga', 'balik', 'balik']",tolol aplikasi ga becus dana pending hari udah tunggu ga balik balik
Yeosm,semoga bs mmbantu fitur dana cicil,3,7/7/2025 3:25,semoga bs mmbantu fitur dana cicil,semoga bs mmbantu fitur dana cicil,semoga bs mmbantu fitur dana cicil,"['semoga', 'bs', 'mmbantu', 'fitur', 'dana', 'cicil']",moga bs mmbantu fitur dana cicil
Misjaya 08,"bantu sya untuk bisa login,degan perivikasi muka",5,7/7/2025 3:23,"bantu sya untuk bisa login,degan perivikasi muka",bantu sya untuk bisa logindegan perivikasi muka,bantu sya logindegan perivikasi muka,"['bantu', 'sya', 'logindegan', 'perivikasi', 'muka']",bantu sya logindegan perivikasi muka
Alfito Radjamuda04,keren gak perlu lama,5,7/7/2025 3:20,keren gak perlu lama,keren gak perlu lama,keren gak perlu lama,"['keren', 'gak', 'perlu', 'lama']",keren gak perlu lama
Qeirichy Gerrel,jam2 3 pagi sering lemot susah banget buka nya,5,7/7/2025 3:13,jam2 3 pagi sering lemot susah banget buka nya,jam pagi sering lemot susah banget buka nya,jam pagi sering lemot susah banget buka nya,"['jam', 'pagi', 'sering', 'lemot', 'susah', 'banget', 'buka', 'nya']",jam pagi sering lot susah banget buka nya
Adhie Vino,lama2 muak make aplikasi dana.. Saat kartu dana hilang.. login aja harus pake otp. udh sandi vermuk. tetep gak bisa harus otp. pemindah nomer baru prosesnya berminggu2. jawabnya suru tunggu terus. sekalinya pemindahan akun gagal padahal data2 sudah di lengkapi . tolong bantuannya dong. dan cs.nya chat respon jngan di ulang². saya mau tarik saldo aja susah banget.,2,7/7/2025 3:12,lama2 muak make aplikasi dana.. saat kartu dana hilang.. login aja harus pake otp. udh sandi vermuk. tetep gak bisa harus otp. pemindah nomer baru prosesnya berminggu2. jawabnya suru tunggu terus. sekalinya pemindahan akun gagal padahal data2 sudah di lengkapi . tolong bantuannya dong. dan cs.nya chat respon jngan di ulang². saya mau tarik saldo aja susah banget.,lama muak make aplikasi dana saat kartu dana hilang login aja harus pake otp udh sandi vermuk tetep gak bisa harus otp pemindah nomer baru prosesnya berminggu jawabnya suru tunggu terus sekalinya pemindahan akun gagal padahal data sudah di lengkapi tolong bantuannya dong dan csnya chat respon jngan di ulang saya mau tarik saldo aja susah banget,lama muak make aplikasi dana kartu dana hilang login aja pake otp udh sandi vermuk tetep gak otp pemindah nomer baru prosesnya berminggu jawabnya suru tunggu terus sekalinya pemindahan akun gagal padahal data lengkapi bantuannya dong csnya chat respon jngan ulang mau tarik saldo aja susah banget,"['lama', 'muak', 'make', 'aplikasi', 'dana', 'kartu', 'dana', 'hilang', 'login', 'aja', 'pake', 'otp', 'udh', 'sandi', 'vermuk', 'tetep', 'gak', 'otp', 'pemindah', 'nomer', 'baru', 'prosesnya', 'berminggu', 'jawabnya', 'suru', 'tunggu', 'terus', 'sekalinya', 'pemindahan', 'akun', 'gagal', 'padahal', 'data', 'lengkapi', 'bantuannya', 'dong', 'csnya', 'chat', 'respon', 'jngan', 'ulang', 'mau', 'tarik', 'saldo', 'aja', 'susah', 'banget']",lama muak make aplikasi dana kartu dana hilang login aja pake otp udh sandi vermuk tetep gak otp pindah nomer baru proses minggu jawab suru tunggu terus sekali pindah akun gagal padahal data lengkap bantu dong csnya chat respon jngan ulang mau tarik saldo aja susah banget
Febri Handoko,luar biasa,5,7/7/2025 3:10,luar biasa,luar biasa,luar biasa,"['luar', 'biasa']",luar biasa
selena zod,sudah pakai nik ktp sudah pakai verifikasi wajah malah yg diminta otp...nomer gua sudah hilang 10 tahun yg lalu gmana bisa baca otp..makin ngacok aja ni aplikasi,1,7/7/2025 3:09,sudah pakai nik ktp sudah pakai verifikasi wajah malah yg diminta otp...nomer gua sudah hilang 10 tahun yg lalu gmana bisa baca otp..makin ngacok aja ni aplikasi,sudah pakai nik ktp sudah pakai verifikasi wajah malah yg diminta otpnomer gua sudah hilang tahun yg lalu gmana bisa baca otpmakin ngacok aja ni aplikasi,pakai nik ktp pakai verifikasi wajah malah yg diminta otpnomer gua hilang tahun yg lalu gmana baca otpmakin ngacok aja ni aplikasi,"['pakai', 'nik', 'ktp', 'pakai', 'verifikasi', 'wajah', 'malah', 'yg', 'diminta', 'otpnomer', 'gua', 'hilang', 'tahun', 'yg', 'lalu', 'gmana', 'baca', 'otpmakin', 'ngacok', 'aja', 'ni', 'aplikasi']",pakai nik ktp pakai verifikasi wajah malah yg minta otpnomer gua hilang tahun yg lalu gmana baca otpmakin ngacok aja ni aplikasi
Bayu Kuswandi,"dana cicil saya tidak bisa di gunakan kenapa ya , cuman 100 rbu juga",5,7/7/2025 3:05,"dana cicil saya tidak bisa di gunakan kenapa ya , cuman 100 rbu juga",dana cicil saya tidak bisa di gunakan kenapa ya cuman rbu juga,dana cicil gunakan cuman rbu,"['dana', 'cicil', 'gunakan', 'cuman', 'rbu']",dana cicil guna cuman rbu
